No,Full Name,Candidate ID,Registration Code,Email,Password,Department
21,Citra Ayu Ningrum,STU-2026-0021,EPC-CAN-2026-001021,candidate021@proficiency.local,proficiency123,Nursing
22,Eko Prasetyo,STU-2026-0022,EPC-CAN-2026-001022,candidate022@proficiency.local,proficiency123,Primary Teacher Education
23,Hanif Maulana,STU-2026-0023,EPC-CAN-2026-001023,candidate023@proficiency.local,proficiency123,Communication Studies
24,Intan Puspitasari,STU-2026-0024,EPC-CAN-2026-001024,candidate024@proficiency.local,proficiency123,English Education
25,Jihan Aulia,STU-2026-0025,EPC-CAN-2026-001025,candidate025@proficiency.local,proficiency123,Informatics
26,Kevin Arianto,STU-2026-0026,EPC-CAN-2026-001026,candidate026@proficiency.local,proficiency123,Management
27,Lukman Hakim,STU-2026-0027,EPC-CAN-2026-001027,candidate027@proficiency.local,proficiency123,Nursing
28,Miftahul Jannah,STU-2026-0028,EPC-CAN-2026-001028,candidate028@proficiency.local,proficiency123,Primary Teacher Education
29,Nabila Zahra,STU-2026-0029,EPC-CAN-2026-001029,candidate029@proficiency.local,proficiency123,Communication Studies
30,Oki Ramadhan,STU-2026-0030,EPC-CAN-2026-001030,candidate030@proficiency.local,proficiency123,English Education
31,Pandu Wicaksono,STU-2026-0031,EPC-CAN-2026-001031,candidate031@proficiency.local,proficiency123,Informatics
32,Qonita Salsabila,STU-2026-0032,EPC-CAN-2026-001032,candidate032@proficiency.local,proficiency123,Management
33,Rafi Alfarizi,STU-2026-0033,EPC-CAN-2026-001033,candidate033@proficiency.local,proficiency123,Nursing
34,Salsa Nurfadilah,STU-2026-0034,EPC-CAN-2026-001034,candidate034@proficiency.local,proficiency123,Primary Teacher Education
35,Taufik Hidayat,STU-2026-0035,EPC-CAN-2026-001035,candidate035@proficiency.local,proficiency123,Communication Studies
36,Umi Kalsum,STU-2026-0036,EPC-CAN-2026-001036,candidate036@proficiency.local,proficiency123,English Education
37,Vina Oktaviani,STU-2026-0037,EPC-CAN-2026-001037,candidate037@proficiency.local,proficiency123,Informatics
38,Wahyu Saputra,STU-2026-0038,EPC-CAN-2026-001038,candidate038@proficiency.local,proficiency123,Management
39,Yulia Kartika,STU-2026-0039,EPC-CAN-2026-001039,candidate039@proficiency.local,proficiency123,Nursing
40,Zainal Abidin,STU-2026-0040,EPC-CAN-2026-001040,candidate040@proficiency.local,proficiency123,Primary Teacher Education
41,Aulia Putra Ramadhan,STU-2026-0041,EPC-CAN-2026-001041,candidate041@proficiency.local,proficiency123,Communication Studies
42,Bella Kirana,STU-2026-0042,EPC-CAN-2026-001042,candidate042@proficiency.local,proficiency123,English Education
43,Cahyo Nugraha,STU-2026-0043,EPC-CAN-2026-001043,candidate043@proficiency.local,proficiency123,Informatics
44,Dian Pertiwi,STU-2026-0044,EPC-CAN-2026-001044,candidate044@proficiency.local,proficiency123,Management
45,Eka Aprilia,STU-2026-0045,EPC-CAN-2026-001045,candidate045@proficiency.local,proficiency123,Nursing
46,Farhan Akbar,STU-2026-0046,EPC-CAN-2026-001046,candidate046@proficiency.local,proficiency123,Primary Teacher Education
47,Gita Cahyani,STU-2026-0047,EPC-CAN-2026-001047,candidate047@proficiency.local,proficiency123,Communication Studies
48,Hafiz Irwansyah,STU-2026-0048,EPC-CAN-2026-001048,candidate048@proficiency.local,proficiency123,English Education
49,Indah Permatasari,STU-2026-0049,EPC-CAN-2026-001049,candidate049@proficiency.local,proficiency123,Informatics
50,Joko Prasetyo,STU-2026-0050,EPC-CAN-2026-001050,candidate050@proficiency.local,proficiency123,Management
51,Kartika Sari,STU-2026-0051,EPC-CAN-2026-001051,candidate051@proficiency.local,proficiency123,Nursing
52,Leo Mahendra,STU-2026-0052,EPC-CAN-2026-001052,candidate052@proficiency.local,proficiency123,Primary Teacher Education
53,Melati Kusuma,STU-2026-0053,EPC-CAN-2026-001053,candidate053@proficiency.local,proficiency123,Communication Studies
54,Nanda Febriansyah,STU-2026-0054,EPC-CAN-2026-001054,candidate054@proficiency.local,proficiency123,English Education
55,Olivia Putri,STU-2026-0055,EPC-CAN-2026-001055,candidate055@proficiency.local,proficiency123,Informatics
56,Putu Andika,STU-2026-0056,EPC-CAN-2026-001056,candidate056@proficiency.local,proficiency123,Management
57,Ratih Kusumaningrum,STU-2026-0057,EPC-CAN-2026-001057,candidate057@proficiency.local,proficiency123,Nursing
58,Satria Wijaya,STU-2026-0058,EPC-CAN-2026-001058,candidate058@proficiency.local,proficiency123,Primary Teacher Education
59,Tiara Paramitha,STU-2026-0059,EPC-CAN-2026-001059,candidate059@proficiency.local,proficiency123,Communication Studies
60,Usman Fadillah,STU-2026-0060,EPC-CAN-2026-001060,candidate060@proficiency.local,proficiency123,English Education
61,Vicky Hermawan,STU-2026-0061,EPC-CAN-2026-001061,candidate061@proficiency.local,proficiency123,Informatics
62,Winda Sari,STU-2026-0062,EPC-CAN-2026-001062,candidate062@proficiency.local,proficiency123,Management
63,Yogi Maulana,STU-2026-0063,EPC-CAN-2026-001063,candidate063@proficiency.local,proficiency123,Nursing
64,Zahra Nabila,STU-2026-0064,EPC-CAN-2026-001064,candidate064@proficiency.local,proficiency123,Primary Teacher Education
65,Aditya Firmansyah,STU-2026-0065,EPC-CAN-2026-001065,candidate065@proficiency.local,proficiency123,Communication Studies
66,Bunga Citra Lestari,STU-2026-0066,EPC-CAN-2026-001066,candidate066@proficiency.local,proficiency123,English Education
67,Chandra Saputra,STU-2026-0067,EPC-CAN-2026-001067,candidate067@proficiency.local,proficiency123,Informatics
68,Dwi Rahmawati,STU-2026-0068,EPC-CAN-2026-001068,candidate068@proficiency.local,proficiency123,Management
69,Erwin Maulana,STU-2026-0069,EPC-CAN-2026-001069,candidate069@proficiency.local,proficiency123,Nursing
70,Fitria Salsabila,STU-2026-0070,EPC-CAN-2026-001070,candidate070@proficiency.local,proficiency123,Primary Teacher Education
71,Galih Prakoso,STU-2026-0071,EPC-CAN-2026-001071,candidate071@proficiency.local,proficiency123,Communication Studies
72,Hana Maharani,STU-2026-0072,EPC-CAN-2026-001072,candidate072@proficiency.local,proficiency123,English Education
73,Iqbal Ramadhan,STU-2026-0073,EPC-CAN-2026-001073,candidate073@proficiency.local,proficiency123,Informatics
74,Jesica Marlina,STU-2026-0074,EPC-CAN-2026-001074,candidate074@proficiency.local,proficiency123,Management
75,Kurnia Dewi,STU-2026-0075,EPC-CAN-2026-001075,candidate075@proficiency.local,proficiency123,Nursing
76,Luthfi Hakim,STU-2026-0076,EPC-CAN-2026-001076,candidate076@proficiency.local,proficiency123,Primary Teacher Education
77,Mira Novitasari,STU-2026-0077,EPC-CAN-2026-001077,candidate077@proficiency.local,proficiency123,Communication Studies
78,Naufal Rizqullah,STU-2026-0078,EPC-CAN-2026-001078,candidate078@proficiency.local,proficiency123,English Education
